County,Precinct,Date,Party,Method,State,Votes
1,10018,11/03/2020,LIB,Absentee,OK,1
1,10018,11/03/2020,LIB,Early,OK,1
1,10018,11/03/2020,LIB,In Person,OK,1
1,10018,11/03/2020,REP,Absentee,OK,10
1,10018,11/03/2020,REP,Early,OK,36
1,10018,11/03/2020,REP,In Person,OK,284
1,10018,11/08/2016,DEM,Absentee,OK,12
1,10018,11/08/2016,DEM,Early,OK,19
1,10018,11/08/2016,DEM,In Person,OK,223
1,10018,11/08/2016,IND,Absentee,OK,6
1,10018,11/08/2016,IND,Early,OK,6
1,10018,11/08/2016,IND,In Person,OK,40
1,10018,11/08/2016,LIB,Absentee,OK,1
1,10018,11/08/2016,LIB,Early,OK,1
1,10018,11/08/2016,REP,Absentee,OK,6
1,10018,11/08/2016,REP,Early,OK,3
1,10018,11/08/2016,REP,In Person,OK,234
1,10019,11/03/2020,DEM,Absentee,OK,13
1,10019,11/03/2020,DEM,Early,OK,18
1,10019,11/03/2020,DEM,In Person,OK,216
1,10019,11/03/2020,IND,Absentee,OK,10
1,10019,11/03/2020,IND,Early,OK,7
1,10019,11/03/2020,IND,In Person,OK,63
1,10019,11/03/2020,LIB,Early,OK,1
1,10019,11/03/2020,REP,Absentee,OK,13
1,10019,11/03/2020,REP,Early,OK,65
1,10019,11/03/2020,REP,In Person,OK,387
1,10019,11/08/2016,DEM,Absentee,OK,6
1,10019,11/08/2016,DEM,Early,OK,10
1,10019,11/08/2016,DEM,In Person,OK,238
1,10019,11/08/2016,IND,Absentee,OK,1
1,10019,11/08/2016,IND,Early,OK,2
1,10019,11/08/2016,IND,In Person,OK,40
1,10019,11/08/2016,LIB,Early,OK,1
1,10019,11/08/2016,REP,Absentee,OK,6
1,10019,11/08/2016,REP,Early,OK,21
1,10019,11/08/2016,REP,In Person,OK,328
2,20110,11/03/2020,DEM,Absentee,OK,2
2,20110,11/03/2020,DEM,Early,OK,3
2,20110,11/03/2020,DEM,In Person,OK,17
